2018/09/04/00:18:14 | FG V 4.10 0.00
2018/09/04/00:18:14 | FG W 3969.05 36500.00 28996.32 1528.93 14710.14 23286.41
2018/09/04/00:18:15 | FG T 25.94 26.69
2018/09/04/00:18:15 | FG D
2018/09/04/00:18:15 | FB V 4.10 0.00
2018/09/04/00:18:15 | F6 V 4.11 0.00
2018/09/04/00:18:15 | F6 W 2681.82 2645.25 24677.96 1477.21 19509.67 27749.07
2018/09/04/00:18:15 | F6 T 26.56 85.00
2018/09/04/00:18:15 | F6 D 
2018/09/04/00:18:15 | F1 V 4.10 0.00
2018/09/04/00:18:15 | F1 W 4826.11 25479.86 30974.78 18980.17 24100.00 434783.03
2018/09/04/00:18:15 | F1 T 27.19 25.56
2018/09/04/00:18:15 | F1 D 
2018/09/04/00:18:16 | FB W 17255.81 35874.44 35066.08 20446.42 14532.37 32625.00
2018/09/04/00:18:16 | FB T -127.00 -127.00
2018/09/04/00:18:16 | FB D
2018/09/04/00:18:16 | F3 V 4.10 0.00
2018/09/04/00:18:16 | F3 W 12110.97 8747.72 31141.32 14299.29 21444.74 33531.91
2018/09/04/00:18:16 | F3 T 26.94 28.25
2018/09/04/00:18:16 | F3 D 
2018/09/04/00:18:17 | F0 V 4.11 0.00
2018/09/04/00:18:17 | F0 W 6438.15 6909.12 4142.86 9411.76 313125.03 35066.08
2018/09/04/00:18:17 | F0 T 26.81 27.75
2018/09/04/00:18:17 | F0 D D5 7.79 0.09 27.4
2018/09/04/00:18:17 | F5 V 4.10 0.00
2018/09/04/00:18:17 | F5 W 2159.29 14910.75 22683.71 1876.94 24914.67 29702.59
2018/09/04/00:18:17 | F5 T 27.25 27.00
2018/09/04/00:18:17 | F5 D 
2018/09/04/00:18:21 | F4 V 4.09 0.00
2018/09/04/00:18:21 | F4 W 1515.95 342758.94 3400003.30 3676.47 23000.00 23986.71
2018/09/04/00:18:21 | F4 T 26.88 26.88
2018/09/04/00:18:21 | F4 D 
2018/09/04/00:28:14 | FB V 4.10 0.00
2018/09/04/00:28:14 | FG V 4.10 0.00
2018/09/04/00:28:14 | FB W 17280.00 35874.44 35000.19 20446.42 14552.03 32743.90
2018/09/04/00:28:14 | FB T -127.00 -127.00
2018/09/04/00:28:14 | FB D
2018/09/04/00:28:14 | FG W 3975.43 36429.86 28996.32 1533.27 14710.14 23322.47
2018/09/04/00:28:15 | FG T 25.94 26.63
2018/09/04/00:28:15 | FG D
2018/09/04/00:28:15 | F6 V 4.11 0.00
2018/09/04/00:28:15 | F6 W 2666.12 2645.25 24677.96 1481.49 19509.67 27702.81
2018/09/04/00:28:15 | F6 T 26.50 85.00
2018/09/04/00:28:15 | F6 D 
2018/09/04/00:28:15 | F1 V 4.10 0.00
2018/09/04/00:28:15 | F1 W 4826.11 25479.86 30920.00 18980.17 24062.23 434783.03
2018/09/04/00:28:15 | F1 T 27.13 25.50
2018/09/04/00:28:15 | F1 D 
2018/09/04/00:28:17 | F0 V 4.11 0.00
2018/09/04/00:28:17 | F0 W 6455.77 6927.75 4155.91 9411.81 313125.03 35066.08
2018/09/04/00:28:17 | F0 T 26.75 27.75
2018/09/04/00:28:17 | F0 D D5 7.79 0.09 27.4
2018/09/04/00:28:17 | F5 V 4.09 0.00
2018/09/04/00:28:17 | F5 W 2140.05 14991.89 22683.71 1886.14 24914.67 29754.02
2018/09/04/00:28:17 | F5 T 27.25 26.94
2018/09/04/00:28:17 | F5 D 
2018/09/04/00:28:20 | F4 V 4.09 0.00
2018/09/04/00:28:20 | F4 W 1477.19 338839.09 3400003.30 3676.47 23000.00 23986.71
2018/09/04/00:28:20 | F4 T 26.88 26.88
2018/09/04/00:28:20 | F4 D 
2018/09/04/00:38:14 | FG V 4.10 0.00
2018/09/04/00:38:14 | FG W 3975.43 36500.00 29045.80 1528.93 14710.14 23322.47
2018/09/04/00:38:15 | FG T 25.88 26.63
2018/09/04/00:38:15 | FG D
2018/09/04/00:38:15 | FB V 4.10 0.00
2018/09/04/00:38:15 | F6 V 4.11 0.00
2018/09/04/00:38:15 | F6 W 2650.46 2655.67 24677.96 1472.90 19481.27 27610.30
2018/09/04/00:38:15 | F6 T 26.44 85.00
2018/09/04/00:38:15 | F6 D 
2018/09/04/00:38:15 | F1 V 4.10 0.00
2018/09/04/00:38:15 | F1 W 4818.94 25520.83 31029.56 18925.59 24100.00 434783.03
2018/09/04/00:38:15 | F1 T 27.06 25.50
2018/09/04/00:38:15 | F1 D 
2018/09/04/00:38:15 | FB W 17377.38 36012.21 35066.08 20446.42 14591.35 32743.90
2018/09/04/00:38:16 | FB T -127.00 -127.00
2018/09/04/00:38:16 | FB D
2018/09/04/00:38:16 | F3 V 4.10 0.00
2018/09/04/00:38:16 | F3 W 12158.94 8770.64 31030.00 14337.86 21444.74 33593.93
2018/09/04/00:38:16 | F3 T 26.88 28.13
2018/09/04/00:38:16 | F3 D 
2018/09/04/00:38:16 | F3 V 4.10 0.00
2018/09/04/00:38:16 | F3 W 12142.86 8747.72 31250.00 14299.29 21444.74 33531.91
2018/09/04/00:38:16 | F3 T 26.94 28.19
2018/09/04/00:38:16 | F3 D 
2018/09/04/00:38:17 | F0 V 4.11 0.00
2018/09/04/00:38:17 | F0 W 6455.80 6937.12 4162.44 9436.37 316562.28 35066.08
2018/09/04/00:38:17 | F0 T 26.75 27.69
2018/09/04/00:38:17 | F0 D D5 7.79 0.09 27.4
2018/09/04/00:38:17 | F5 V 4.09 0.00
2018/09/04/00:38:17 | F5 W 2120.86 14971.55 22683.71 1886.14 24914.67 29702.59
2018/09/04/00:38:17 | F5 T 27.19 26.94
2018/09/04/00:38:17 | F5 D 
2018/09/04/00:38:20 | F4 V 4.09 0.00
2018/09/04/00:38:20 | F4 W 1447.22 342758.94 3400003.30 3670.38 23000.00 23986.71
2018/09/04/00:38:20 | F4 T 26.81 26.88
2018/09/04/00:38:20 | F4 D 
2018/09/04/00:48:13 | FB V 4.09 0.00
2018/09/04/00:48:14 | FG V 4.10 0.00
2018/09/04/00:48:14 | FB W 17304.31 36012.21 35066.08 20476.72 14571.69 32803.35
2018/09/04/00:48:14 | FB T -127.00 -127.00
2018/09/04/00:48:14 | FB D
2018/09/04/00:48:14 | FG W 3975.43 36500.00 29045.80 1533.27 14710.14 23322.47
2018/09/04/00:48:15 | FG T 25.88 26.63
2018/09/04/00:48:15 | FG D
2018/09/04/00:48:15 | F6 V 4.10 0.00
2018/09/04/00:48:15 | F6 W 2629.63 2650.46 24677.96 1481.49 19509.67 27702.81
2018/09/04/00:48:15 | F6 T 26.44 85.00
2018/09/04/00:48:15 | F6 D 
2018/09/04/00:48:15 | F1 V 4.10 0.00
2018/09/04/00:48:15 | F1 W 4826.11 25521.12 30974.78 18816.90 24100.00 434783.03
2018/09/04/00:48:15 | F1 T 27.00 25.44
2018/09/04/00:48:15 | F1 D 
2018/09/04/00:48:16 | F3 V 4.10 0.00
2018/09/04/00:48:16 | F3 W 12174.88 8782.14 31305.67 14357.23 21476.92 33531.91
2018/09/04/00:48:16 | F3 T 26.88 28.06
2018/09/04/00:48:16 | F3 D 
2018/09/04/00:48:17 | F0 V 4.11 0.00
2018/09/04/00:48:17 | F0 W 6473.46 6937.12 4182.08 9436.37 313125.03 35066.08
2018/09/04/00:48:17 | F0 T 26.75 27.69
