2018/08/21/10:09:52 | FG V 4.17 4.01
2018/08/21/10:09:52 | FB V 4.12 4.14
2018/08/21/10:09:52 | FG W 4221.51 45297.28 37361.11 17280.00 12549.62 27065.21
2018/08/21/10:09:52 | FB W 11180.13 36289.59 34094.83 11136.42 33470.43 31755.10
2018/08/21/10:09:53 | FG T 28.00 27.75
2018/08/21/10:09:53 | FG D
2018/08/21/10:09:53 | FB T 25.44 26.19
2018/08/21/10:09:53 | FB D
2018/08/21/10:09:53 | F6 V 4.17 4.08
2018/08/21/10:09:53 | F6 W 4776.13 8713.43 28458.64 13680.56 25644.60 18548.89
2018/08/21/10:09:53 | F6 T 27.25 26.50
2018/08/21/10:09:53 | F6 D
2018/08/21/10:09:54 | F1 V 4.17 4.14
2018/08/21/10:09:54 | F1 W 4129.85 25562.09 31698.52 13589.57 4241.31 351158.00
2018/08/21/10:09:54 | F1 T 25.44 25.56
2018/08/21/10:09:54 | F1 D
2018/08/21/10:09:54 | F3 V 4.12 4.10
2018/08/21/10:09:54 | F3 W 7607.61 27020.61 30381.72 9876.96 25114.51 34672.49
2018/08/21/10:09:54 | F3 T 26.50 26.13
2018/08/21/10:09:54 | F3 D
2018/08/21/10:09:55 | F4 V 4.16 4.08
2018/08/21/10:09:55 | F4 W 18027.39 38714.28 40394.10 19396.55 17039.69 31139.56
2018/08/21/10:09:55 | F4 T 27.69 27.38
2018/08/21/10:09:55 | F4 D
2018/08/21/10:09:55 | F0 V 4.14 4.04
2018/08/21/10:09:55 | F0 W 11937.12 19623.60 1554.97 11765.96 368889.25 37361.11
2018/08/21/10:09:55 | F0 T 26.25 26.63
2018/08/21/10:09:55 | F0 D D5 7.03 0.05 27.6
2018/08/21/10:09:56 | F5 V 4.16 4.10
2018/08/21/10:09:56 | F5 W 12500.02 11921.45 32331.19 3401.75 37070.78 42461.53
2018/08/21/10:09:56 | F5 T 27.94 27.75
2018/08/21/10:09:56 | F5 D
2018/08/21/10:29:52 | FG V 4.20 4.06
2018/08/21/10:29:52 | FB V 4.19 3.99
2018/08/21/10:29:52 | FG W 4228.11 45497.64 37434.54 17280.00 12582.78 27065.21
2018/08/21/10:29:52 | FB W 11238.77 36359.72 34094.83 11209.42 33470.43 31755.10
2018/08/21/10:29:53 | FG T 28.19 27.75
2018/08/21/10:29:53 | FG D
2018/08/21/10:29:53 | FB T 25.38 26.25
2018/08/21/10:29:53 | FB D
2018/08/21/10:29:53 | F6 V 4.21 4.07
2018/08/21/10:29:53 | F6 W 4790.37 8770.68 28458.64 13698.87 25727.69 18575.42
2018/08/21/10:29:53 | F6 T 27.25 85.00
2018/08/21/10:29:53 | F6 D
2018/08/21/10:29:53 | F1 V 4.17 4.18
2018/08/21/10:29:53 | F1 W 4142.86 25562.09 31698.52 13662.33 4274.44 355357.50
2018/08/21/10:29:53 | F1 T 25.44 25.69
2018/08/21/10:29:53 | F1 D
2018/08/21/10:29:54 | F3 V 4.13 4.19
2018/08/21/10:29:54 | F3 W 7658.24 27065.21 30434.78 9954.50 25154.63 34672.49
2018/08/21/10:29:54 | F3 T 26.56 26.19
2018/08/21/10:29:54 | F3 D
2018/08/21/10:29:55 | F0 V 4.19 3.96
2018/08/21/10:29:55 | F0 W 11952.86 19595.04 1559.33 11750.55 368889.25 37361.11
2018/08/21/10:29:55 | F0 T 26.31 26.63
2018/08/21/10:29:55 | F0 D D5 7.03 0.05 27.5
2018/08/21/10:29:55 | F4 V 4.15 4.14
2018/08/21/10:29:55 | F4 W 18078.73 38714.28 40311.75 19481.27 17159.34 31139.56
2018/08/21/10:29:55 | F4 T 27.63 27.44
2018/08/21/10:29:55 | F4 D
2018/08/21/10:39:52 | FG V 4.19 4.12
2018/08/21/10:39:52 | FG W 4228.11 45497.64 37434.54 17328.63 12582.78 27065.21
2018/08/21/10:39:53 | FG T 28.31 27.81
2018/08/21/10:39:53 | FG D
2018/08/21/10:39:53 | F6 V 4.19 4.15
2018/08/21/10:39:53 | F6 W 4804.65 8793.65 28555.39 13662.33 25769.23 18655.46
2018/08/21/10:39:53 | F6 T 27.25 85.00
2018/08/21/10:39:53 | F6 D
2018/08/21/10:39:53 | F1 V 4.17 4.19
2018/08/21/10:39:53 | F1 W 4142.90 25562.09 31641.94 13717.18 4281.07 355357.50
2018/08/21/10:39:53 | F1 T 25.44 25.69
2018/08/21/10:39:53 | F1 D
2018/08/21/10:39:53 | FB V 4.19 4.08
2018/08/21/10:39:54 | F3 V 4.12 4.26
2018/08/21/10:39:54 | F3 W 7729.64 27020.61 30434.78 9967.49 25154.63 34737.80
2018/08/21/10:39:54 | F3 T 26.63 26.19
2018/08/21/10:39:54 | F3 D
2018/08/21/10:39:54 | FB W 11238.77 36289.59 34094.83 11209.42 33347.46 31755.10
2018/08/21/10:39:55 | FB T 25.56 26.50
2018/08/21/10:39:55 | FB D
2018/08/21/10:39:55 | F4 V 4.15 4.13
2018/08/21/10:39:55 | F4 W 18078.73 38791.97 40394.10 19509.67 17231.63 31084.34
2018/08/21/10:39:55 | F4 T 27.69 27.50
2018/08/21/10:39:55 | F4 D
2018/08/21/10:39:55 | F0 V 4.20 4.01
2018/08/21/10:39:55 | F0 W 11952.86 19595.04 1559.33 11719.75 368889.25 37361.11
2018/08/21/10:39:55 | F0 T 26.38 26.63
2018/08/21/10:39:55 | F0 D D5 7.03 0.05 27.5
2018/08/21/10:39:55 | F5 V 4.16 4.15
2018/08/21/10:39:55 | F5 W 12500.02 11921.45 32389.66 3425.21 37142.87 42641.81
2018/08/21/10:39:55 | F5 T 27.94 28.00
2018/08/21/10:39:55 | F5 D
2018/08/21/10:39:55 | F5 V 4.16 4.16
