2018/09/17/00:26:37 | FB V 4.09 0.00
2018/09/17/00:26:37 | FB W 2188.25 33164.55 33165.07 1438.69 22068.97 26666.66
2018/09/17/00:26:37 | FB T 21.75 20.38
2018/09/17/00:26:37 | FB D
2018/09/17/00:26:38 | FB W 2183.42 33164.55 33104.10 1324.74 22035.56 26623.01
2018/09/17/00:26:38 | FB T 21.69 20.25
2018/09/17/00:26:38 | FB D
2018/09/17/00:26:39 | F1 V 4.10 0.00
2018/09/17/00:26:39 | F1 W 5570.80 22339.38 28946.83 1713.74 21316.39 330999.47
2018/09/17/00:26:39 | F1 T 22.69 21.88
2018/09/17/00:26:39 | F1 D
2018/09/17/00:26:39 | FG V 4.10 0.00
2018/09/17/00:26:40 | FG W 4691.25 2011.76 69921.91 1660.34 23725.35 7760.42
2018/09/17/00:26:41 | F0 V 4.10 0.00
2018/09/17/00:26:41 | F0 W 2750.32 5036.75 1923.09 5253.49 5819.60 31084.34
2018/09/17/00:26:41 | F0 T 22.88 24.25
2018/09/17/00:26:41 | F0 D D5 9.36 0.11 24.3
2018/09/17/00:26:41 | FG T 22.50 23.31
2018/09/17/00:26:41 | FG D
2018/09/17/00:26:41 | F3 V 4.09 0.00
2018/09/17/00:26:41 | F3 W 1250.02 5570.78 13373.98 12015.80 19595.04 29498.07
2018/09/17/00:26:41 | F3 T 23.44 22.63
2018/09/17/00:26:41 | F3 D
2018/09/17/00:26:41 | F5 V 4.08 0.00
2018/09/17/00:26:41 | F5 W 2360.05 1524.60 28996.32 2073.17 4705.33 29045.80
2018/09/17/00:26:41 | F5 T 23.56 23.69
2018/09/17/00:26:41 | F5 D
2018/09/17/00:26:44 | F4 V 4.08 0.00
2018/09/17/00:26:44 | F4 W 1528.95 1455.78 558333.88 3081.84 9038.48 6212.36
2018/09/17/00:26:44 | F4 T 23.38 23.63
2018/09/17/00:26:44 | F4 D
2018/09/17/00:36:39 | FB V 4.09 0.00
2018/09/17/00:36:39 | F1 V 4.10 0.00
2018/09/17/00:36:39 | F1 W 5570.80 22339.38 29295.90 1709.27 21316.39 330999.47
2018/09/17/00:36:39 | F1 T 22.69 21.81
2018/09/17/00:36:39 | F1 D
2018/09/17/00:36:39 | F3 V 4.10 0.00
2018/09/17/00:36:39 | F3 W 1254.13 5375.76 13338.43 12031.61 19680.90 29498.07
2018/09/17/00:36:39 | F3 T 23.38 22.81
2018/09/17/00:36:39 | F3 D
2018/09/17/00:36:39 | FG V 4.10 0.00
2018/09/17/00:36:40 | FG W 4684.22 2016.47 69921.91 1660.34 23762.38 7770.71
2018/09/17/00:36:40 | F0 V 4.10 0.00
2018/09/17/00:36:40 | F0 W 2766.23 5036.75 1932.35 5253.49 5827.76 31084.34
